Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
secY_1,Chromosome,Protein translocase subunit SecY,38,1,40,1
adk,Chromosome,Adenylate kinase,38,1,40,1
degP_2,Chromosome,Periplasmic serine endoprotease DegP,38,1,40,1
alkJ,Chromosome,Alcohol dehydrogenase [acceptor],38,1,40,1
degU_2,Chromosome,Transcriptional regulatory protein DegU,38,1,40,1
decR_1,Chromosome,DNA-binding transcriptional activator DecR,38,1,40,1
hpd,Chromosome,4-hydroxyphenylpyruvate dioxygenase,38,1,40,1
hmgA,Chromosome,"Homogentisate 1,2-dioxygenase",38,1,40,1
gpt,Chromosome,Xanthine phosphoribosyltransferase,38,1,40,1
cinA,Chromosome,Putative competence-damage inducible protein,38,1,40,1
group_1947,Chromosome,tRNA-Leu(taa),38,1,40,1
hchA_1,Chromosome,Protein/nucleic acid deglycase HchA,38,1,40,1
azoR_1,Chromosome,FMN-dependent NADH-azoreductase,38,1,40,1
sseA,Chromosome,3-mercaptopyruvate sulfurtransferase,38,1,40,1
cbs,Chromosome,Putative cystathionine beta-synthase,38,1,40,1
ufaA1,Chromosome,Tuberculostearic acid methyltransferase UfaA1,38,1,40,1
nasA,Chromosome,Nitrate reductase,38,1,40,1
nasE,Chromosome,Assimilatory nitrite reductase [NAD(P)H] small subunit,38,1,40,1
narT,Chromosome,putative nitrate transporter NarT,38,1,40,1
pdtaR,Chromosome,putative transcriptional regulatory protein pdtaR,38,1,40,1
group_1960,Chromosome,Solute-binding protein,38,1,40,1
puuD_1,Chromosome,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD,38,1,40,1
ttuD_2,Chromosome,Putative hydroxypyruvate reductase,38,1,40,1
ydcV_2,Chromosome,Inner membrane ABC transporter permease protein YdcV,38,1,40,1
potH_2,Chromosome,Putrescine transport system permease protein PotH,38,1,40,1
potD,Chromosome,Spermidine/putrescine-binding periplasmic protein,38,1,40,1
katE,Chromosome,Catalase C,38,1,40,1
pcm_1,Chromosome,Protein-L-isoaspartate O-methyltransferase,38,1,40,1
valS,Chromosome,Valine--tRNA ligase,38,1,40,1
xthA_2,Chromosome,Exodeoxyribonuclease III,38,1,40,1
scpB,Chromosome,Segregation and condensation protein B,38,1,40,1
tatC,Chromosome,Sec-independent protein translocase protein TatC,38,1,40,1
accB,Chromosome,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,38,1,40,1
recJ,Chromosome,Single-stranded-DNA-specific exonuclease RecJ,38,1,40,1
group_1998,Chromosome,tRNA-Pro(tgg),38,1,40,1
yhdY,Chromosome,Inner membrane amino-acid ABC transporter permease protein YhdY,38,1,40,1
yhdW,Chromosome,Putative amino-acid ABC transporter-binding protein YhdW,38,1,40,1
metC,Chromosome,Cystathionine beta-lyase MetC,38,1,40,1
bpoC,Chromosome,Putative non-heme bromoperoxidase BpoC,38,1,40,1
frr,Chromosome,Ribosome-recycling factor,38,1,40,1
bamA_1,Chromosome,Outer membrane protein assembly factor BamA,38,1,40,1
lpxA,Chromosome,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,38,1,40,1
lpxI,Chromosome,"UDP-2,3-diacylglucosamine pyrophosphatase LpxI",38,1,40,1
kdsA,Chromosome,2-dehydro-3-deoxyphosphooctonate aldolase,38,1,40,1
eno_2,Chromosome,Enolase,38,1,40,1
pdhC,Chromosome,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,38,1,40,1
qorA_1,Chromosome,Quinone oxidoreductase 1,38,1,40,1
lpd,Chromosome,Dihydrolipoyl dehydrogenase,38,1,40,1
ispDF,Chromosome,Bifunctional enzyme IspD/IspF,38,1,40,1
dusB,Chromosome,tRNA-dihydrouridine synthase B,38,1,40,1
dksA_1,Chromosome,RNA polymerase-binding transcription factor DksA,38,1,40,1
dat,Chromosome,D-alanine aminotransferase,38,1,40,1
cysG,Chromosome,Siroheme synthase,38,1,40,1
ubiL_1,Chromosome,Ubiquinone hydroxylase UbiL,38,1,40,1
gfo,Chromosome,Glucose--fructose oxidoreductase,38,1,40,1
ddpC_1,Chromosome,"putative D,D-dipeptide transport system permease protein DdpC",38,1,40,1
melD_3,Chromosome,Melibiose/raffinose/stachyose import permease protein MelD,38,1,40,1
mdtA_3,Chromosome,Multidrug resistance protein MdtA,38,1,40,1
mglA_1,Chromosome,Galactose/methyl galactoside import ATP-binding protein MglA,38,1,40,1
group_2053,Chromosome,Purine-binding protein,38,1,40,1
fruK,Chromosome,Fructose import ATP-binding protein FruK,38,1,40,1
ytfT,Chromosome,Inner membrane ABC transporter permease protein YtfT,38,1,40,1
glmU,Chromosome,Bifunctional protein GlmU,38,1,40,1
recG,Chromosome,ATP-dependent DNA helicase RecG,38,1,40,1
nnr,Chromosome,Bifunctional NAD(P)H-hydrate repair enzyme Nnr,38,1,40,1
gyrA,Chromosome,DNA gyrase subunit A,38,1,40,1
tgt,Chromosome,Queuine tRNA-ribosyltransferase,38,1,40,1
fabF_2,Chromosome,3-oxoacyl-[acyl-carrier-protein] synthase 2,38,1,40,1
exuR,Chromosome,putative HTH-type transcriptional repressor ExuR,38,1,40,1
pxpA,Chromosome,5-oxoprolinase subunit A,38,1,40,1
metG_2,Chromosome,Methionine--tRNA ligase,38,1,40,1
dnaX,Chromosome,DNA polymerase III subunit tau,38,1,40,1
tmk,Chromosome,Thymidylate kinase,38,1,40,1
